payment_id,booking_id,amount
195,195,22.99
196,196,1.29
197,197,39.99
198,198,2.49
199,199,199.99
200,200,9.99
201,201,6.99
202,202,129.99
203,203,12.99
204,204,4.19
205,205,3.99
206,206,4.49
207,207,2.99
208,208,2.89
209,209,29.99
210,210,29.99
211,211,4.99
212,212,1.99
213,213,12.99
214,214,39.99
215,215,4.49
216,216,3.99
217,217,39.99
218,218,14.99
219,219,24.99
220,220,4.29
221,221,25.99
222,222,39.99
223,223,4.59
224,224,3.99
225,225,169.99
226,226,8.99
227,227,39.99
228,228,39.99
229,229,39.99
230,230,3.99
231,231,3.49
232,232,3.49
233,233,1.99
234,234,5.99
235,235,14.99
236,236,10.99
237,237,14.99
238,238,2.29
239,239,2.49
240,240,49.99
241,241,4.99
242,242,19.99
243,243,39.99
244,244,10.99
245,245,24.99
246,246,3.79
247,247,99.99
248,248,24.99
249,249,34.99
250,250,19.99
251,251,9.99
252,252,54.99
253,253,899.99
254,254,22.99
255,255,5.99
256,256,1.99
257,257,39.99
258,258,169.99
259,259,2.49
260,260,19.99
261,261,3.29
262,262,24.99
263,263,2.49
264,264,25.99
265,265,79.99
266,266,10.99
267,267,19.99
268,268,2.49
269,269,2.49
270,270,3.29
271,271,5.99
272,272,19.99
273,273,19.99
274,274,6.49
275,275,19.99
276,276,25.99
277,277,19.99
278,278,4.99
279,279,19.99
280,280,29.99
281,281,45.99
282,282,12.99
283,283,2.99
284,284,25.99
285,285,19.99
286,286,29.99
287,287,4.49
288,288,14.99
289,289,45.99
290,290,49.99
291,291,2.49
292,292,79.99
293,293,15.99
294,294,1.29
295,295,24.99
296,296,24.99
297,297,6.49
298,298,34.99
299,299,3.49
300,300,1.99
301,301,89.99
302,302,89.99
303,303,5.99
304,304,3.99
305,305,2.79
306,306,29.99
307,307,39.99
308,308,59.99
309,309,19.99
310,310,49.99
311,311,15.99
312,312,3.49
313,313,22.99
314,314,4.49
315,315,3.99
316,316,3.79
317,317,15.99
318,318,4.19
319,319,199.99
320,320,2.99
321,321,3.29
322,322,8.99
323,323,2.79
324,324,19.99
325,325,8.49
326,326,9.99
327,327,3.59
328,328,39.99
329,329,99.99
330,330,24.99
331,331,129.99
332,332,2.59
333,333,3.49
334,334,59.99
335,335,4.99
336,336,29.99
337,337,4.99
338,338,1.99
339,339,3.49
340,340,1.99
341,341,15.99
342,342,3.29
343,343,59.99
344,344,34.99
345,345,2.09
346,346,22.99
347,347,1.99
348,348,69.99
349,349,29.99
350,350,29.99
351,351,69.99
352,352,4.99
353,353,2.49
354,354,2.99
355,355,39.99
356,356,2.79
357,357,14.99
358,358,5.99
359,359,8.99
360,360,5.99
361,361,69.99
362,362,22.99
363,363,14.99
364,364,34.99
365,365,49.99
366,366,6.99
367,367,12.99
368,368,14.99
369,369,79.99
370,370,1.29
371,371,2.49
372,372,59.99
373,373,22.99
374,374,4.29
375,375,129.99
376,376,45.99
377,377,4.29
378,378,24.99
379,379,49.99
380,380,3.49
381,381,5.99
382,382,4.99
383,383,59.99
384,384,19.99
385,385,4.59
386,386,4.29
387,387,7.99
388,388,34.99
389,389,3.59
390,390,2.99
391,391,15.99
392,392,59.99
393,393,2.79
394,394,3.39
395,395,5.99
396,396,3.99
397,397,4.29
398,398,14.99
399,399,29.99
400,400,3.49
401,401,4.99
402,402,2.99
403,403,19.99
404,404,199.99
405,405,22.99
406,406,45.99
407,407,49.99
408,408,4.49
409,409,4.29
410,410,19.99
411,411,5.99
412,412,5.99
413,413,4.49
414,414,19.99
415,415,7.99
416,416,5.49
417,417,3.99
418,418,15.99
419,419,2.49
420,420,29.99
421,421,2.79
422,422,29.99
423,423,79.99
424,424,4.29
425,425,4.29
426,426,3.59
427,427,3.99
428,428,1.49
429,429,3.49
430,430,2.99
431,431,89.99
432,432,4.5
433,433,19.99
434,434,89.99
435,435,1.49
436,436,5.59
437,437,2.49
438,438,29.99
439,439,29.99
440,440,39.99
441,441,49.99
442,442,59.99
443,443,14.99
444,444,5.99
445,445,4.99
446,446,10.99
447,447,39.99
448,448,79.99
449,449,19.99
450,450,5.99
451,451,2.99
452,452,3.49
453,453,4.99
454,454,7.49
455,455,22.99
456,456,2.49
457,457,3.79
458,458,3.49
459,459,14.99
460,460,29.99
461,461,19.99
462,462,2.29
463,463,3.69
464,464,14.99
465,465,4.49
466,466,24.99
467,467,1.49
468,468,12.99
469,469,27.99
470,470,59.99
471,471,3.49
472,472,8.99
473,473,5.49
474,474,34.99
475,475,2.79
476,476,18.99
477,477,49.95
478,478,2.99
479,479,2.89
480,480,19.99
481,481,3.49
482,482,22.99
483,483,29.99
484,484,5.79
485,485,12.99
486,486,59.99
487,487,12.99
488,488,49.99
489,489,79.99
490,490,5.49
491,491,2.99
492,492,39.99
493,493,3.99
494,494,29.99
495,495,29.99
496,496,45
497,497,2.59
498,498,3.49
499,499,5.99
500,500,3.29
