ticket_id,attraction_id,price,valid_date,ticket_type,available_quantity
73,73,23.99,8/28/2025,VIP,64
74,74,49.99,10/4/2025,general_admission,84
75,75,24.99,10/14/2025,general_admission,38
76,76,15.99,7/5/2025,VIP,19
77,77,3.29,9/6/2025,senior,11
78,78,9.99,11/19/2025,general_admission,25
79,79,14.99,10/22/2025,student,79
80,80,5.99,10/19/2025,VIP,71
81,81,18.99,9/16/2025,senior,3
82,82,4.99,5/7/2025,general_admission,60
83,83,29.99,3/2/2026,senior,93
84,84,5.99,5/13/2025,general_admission,68
85,85,4.99,1/3/2026,senior,41
86,86,0.75,4/14/2025,senior,77
87,87,24.99,1/5/2026,VIP,16
88,88,8.49,2/5/2026,student,20
89,89,49.99,8/22/2025,senior,43
90,90,1.79,5/21/2025,general_admission,37
91,91,19.99,7/26/2025,VIP,24
92,92,19.99,1/3/2026,student,66
93,93,3.49,10/19/2025,general_admission,60
94,94,44.99,6/14/2025,student,19
95,95,299.99,11/4/2025,senior,36
96,96,12.99,5/8/2025,general_admission,31
97,97,3.99,12/30/2025,VIP,65
98,98,4.99,12/28/2025,student,84
99,99,1.99,5/14/2025,VIP,100
100,100,2.79,9/10/2025,student,44
101,101,3.49,4/5/2025,senior,86
102,102,8.99,2/1/2026,VIP,89
103,103,18.99,5/11/2025,senior,32
104,104,2.99,8/12/2025,student,49
105,105,29.99,5/17/2025,student,90
106,106,3.99,7/11/2025,student,95
107,107,14.99,4/7/2025,senior,13
108,108,4.99,6/2/2025,student,48
109,109,34.99,5/4/2025,senior,20
110,110,3.99,6/25/2025,general_admission,21
111,111,5.49,5/20/2025,senior,66
112,112,29.99,10/2/2025,senior,98
113,113,34.99,12/25/2025,senior,82
114,114,19.99,3/1/2026,senior,78
115,115,7.99,4/17/2025,senior,96
116,116,34.99,8/30/2025,senior,97
117,117,3.49,7/19/2025,senior,67
118,118,2.29,9/12/2025,VIP,9
119,119,1.79,7/11/2025,general_admission,63
120,120,2.49,3/24/2026,VIP,8
121,121,3.29,11/29/2025,general_admission,57
122,122,10.99,2/13/2026,student,23
123,123,19.99,4/19/2025,student,2
124,124,2.99,2/22/2026,VIP,29
125,125,3.99,3/21/2026,senior,98
126,126,4.99,7/4/2025,senior,1
127,127,4.29,1/29/2026,VIP,12
128,128,3.29,4/3/2025,general_admission,60
129,129,39.99,1/3/2026,general_admission,62
130,130,109.99,10/22/2025,VIP,68
131,131,22.99,12/4/2025,student,37
132,132,2.79,12/23/2025,senior,29
133,133,39.99,4/17/2025,senior,69
134,134,22.99,12/19/2025,senior,63
135,135,34.99,8/17/2025,general_admission,78
136,136,24.99,9/17/2025,general_admission,92
137,137,2.29,8/13/2025,senior,93
138,138,159.99,11/30/2025,student,68
139,139,4.49,4/10/2025,general_admission,49
140,140,2.99,3/4/2026,VIP,52
141,141,3.99,6/30/2025,senior,84
142,142,34.99,7/6/2025,general_admission,60
143,143,29.99,8/6/2025,senior,9
144,144,4.29,7/22/2025,general_admission,90
145,145,14.99,3/14/2026,student,96
146,146,89.99,2/5/2026,general_admission,48
147,147,29.99,5/14/2025,senior,86
148,148,9.99,4/3/2025,student,76
149,149,19.99,11/20/2025,senior,94
150,150,29.99,4/14/2025,student,58
151,151,3.39,5/13/2025,general_admission,44
152,152,19.99,9/15/2025,VIP,46
153,153,2.49,6/8/2025,general_admission,40
154,154,3.49,9/11/2025,student,46
155,155,39.99,4/13/2025,senior,9
156,156,49.99,12/18/2025,general_admission,84
157,157,2.99,11/13/2025,senior,43
158,158,2.99,8/8/2025,general_admission,27
159,159,1.49,2/6/2026,general_admission,53
160,160,2.99,7/31/2025,student,20
161,161,4.99,9/3/2025,senior,60
162,162,8.99,8/29/2025,general_admission,57
163,163,149.99,2/15/2026,general_admission,65
164,164,39.99,2/9/2026,senior,93
165,165,22.99,1/7/2026,student,21
166,166,3.99,1/29/2026,senior,91
167,167,49.99,1/8/2026,senior,99
168,168,4.99,2/7/2026,general_admission,61
169,169,34.99,11/22/2025,general_admission,91
170,170,2.49,10/13/2025,VIP,73
171,171,30,7/17/2025,student,98
172,172,24.99,12/1/2025,general_admission,8
173,173,29.99,11/27/2025,VIP,98
174,174,14.99,9/15/2025,senior,78
175,175,14.99,12/1/2025,general_admission,59
176,176,9.99,12/26/2025,student,59
177,177,3.89,3/3/2026,student,41
178,178,4.29,8/15/2025,general_admission,36
179,179,14.99,4/8/2025,general_admission,8
180,180,24.99,11/29/2025,student,100
181,181,129.99,12/27/2025,VIP,39
182,182,1.5,6/30/2025,student,77
183,183,39.99,11/11/2025,senior,82
184,184,3.49,2/18/2026,senior,11
185,185,29.99,4/26/2025,VIP,36
186,186,34.99,9/29/2025,VIP,48
187,187,3.89,2/13/2026,VIP,74
188,188,79.99,3/12/2026,general_admission,15
189,189,39.99,7/4/2025,general_admission,10
190,190,2.39,4/1/2025,VIP,24
191,191,9.99,10/10/2025,senior,68
192,192,3.99,4/21/2025,student,72
193,193,3.29,9/6/2025,VIP,7
194,194,89.99,3/10/2026,general_admission,6
195,195,19.99,9/7/2025,general_admission,49
196,196,3.29,5/22/2025,VIP,17
197,197,14.99,4/1/2025,student,94
198,198,3.99,1/7/2026,student,90
199,199,19.99,4/22/2025,VIP,37
200,200,5.49,12/8/2025,general_admission,69
201,201,5.99,9/25/2025,general_admission,90
202,202,12.99,9/18/2025,student,62
203,203,19.99,12/30/2025,general_admission,9
204,204,3.69,12/10/2025,student,80
205,205,3.49,11/16/2025,student,66
206,206,39.99,3/12/2026,general_admission,69
207,207,2.29,6/28/2025,senior,7
208,208,5.29,4/2/2025,general_admission,26
209,209,39.99,10/7/2025,VIP,83
210,210,3.29,9/3/2025,senior,28
211,211,89.99,3/10/2026,general_admission,48
212,212,7.99,1/1/2026,student,86
213,213,3.99,9/12/2025,student,54
214,214,69.99,11/9/2025,VIP,82
215,215,10.99,8/7/2025,VIP,45
216,216,2.49,8/29/2025,student,14
217,217,3.49,11/17/2025,general_admission,98
218,218,4.29,11/6/2025,senior,89
219,219,34.99,7/15/2025,general_admission,15
220,220,199.99,7/21/2025,senior,78
221,221,24.99,1/8/2026,VIP,48
222,222,39.99,7/25/2025,senior,74
223,223,1.99,8/12/2025,general_admission,25
224,224,19.99,5/7/2025,general_admission,47
225,225,5.99,11/6/2025,general_admission,35
226,226,6.89,6/18/2025,general_admission,12
227,227,29.99,12/23/2025,student,10
228,228,3.49,10/20/2025,student,4
229,229,1.99,8/31/2025,VIP,70
230,230,39.99,12/13/2025,general_admission,18
231,231,29.99,5/22/2025,VIP,72
232,232,19.99,3/24/2026,senior,1
233,233,5.99,5/19/2025,student,58
234,234,24.99,3/12/2026,general_admission,7
235,235,129.99,11/29/2025,general_admission,44
236,236,16.99,10/21/2025,senior,46
237,237,34.99,4/10/2025,general_admission,18
238,238,29.99,11/30/2025,general_admission,43
239,239,3.99,11/23/2025,student,82
240,240,99.99,9/23/2025,general_admission,95
241,241,27.99,7/9/2025,VIP,87
242,242,7.99,4/20/2025,senior,25
243,243,39.99,5/8/2025,student,47
244,244,4.09,1/25/2026,student,82
245,245,24.99,11/24/2025,senior,38
246,246,12.99,2/14/2026,VIP,18
247,247,9.99,8/2/2025,student,86
248,248,3.99,6/14/2025,general_admission,51
249,249,4.99,1/31/2026,student,24
250,250,29.99,12/17/2025,senior,7
251,251,4.49,10/10/2025,VIP,77
252,252,3.49,7/19/2025,student,55
253,253,4.49,4/17/2025,student,38
254,254,4.59,11/12/2025,senior,59
255,255,3.99,1/30/2026,student,14
256,256,2.99,2/12/2026,student,30
257,257,14.99,9/24/2025,senior,79
258,258,39.99,3/18/2026,student,83
259,259,2.49,1/30/2026,senior,47
260,260,4.29,12/25/2025,general_admission,52
261,261,49.99,5/21/2025,senior,23
262,262,3.99,6/14/2025,senior,52
263,263,12.99,2/7/2026,general_admission,96
264,264,89.99,9/9/2025,senior,71
265,265,19.99,3/22/2026,VIP,27
266,266,2.99,7/28/2025,senior,96
267,267,14.99,8/5/2025,senior,95
268,268,199.99,3/29/2026,senior,45
269,269,3.99,3/9/2026,senior,45
270,270,2.49,6/19/2025,senior,6
271,271,3.29,11/23/2025,general_admission,71
272,272,3.49,6/3/2025,senior,98
273,273,9.99,4/1/2025,student,30
274,274,5.49,5/15/2025,general_admission,2
275,275,24.99,12/31/2025,general_admission,19
276,276,5.49,10/6/2025,student,14
277,277,6.49,3/24/2026,general_admission,71
278,278,19.99,6/1/2025,student,16
279,279,2.49,2/26/2026,student,78
280,280,5.99,12/31/2025,senior,24
281,281,1.99,7/1/2025,senior,93
282,282,39.99,11/22/2025,VIP,32
283,283,1.99,11/26/2025,VIP,70
284,284,249.99,10/9/2025,general_admission,66
285,285,2.99,9/3/2025,VIP,71
286,286,2.99,12/17/2025,general_admission,34
287,287,5.49,10/3/2025,VIP,10
288,288,6.49,1/2/2026,VIP,27
289,289,9.99,3/27/2026,student,58
290,290,4.49,8/10/2025,VIP,18
291,291,6.49,7/26/2025,general_admission,21
292,292,8.99,6/1/2025,VIP,21
293,293,12.99,2/15/2026,student,86
294,294,14.99,6/16/2025,general_admission,53
295,295,1.99,6/3/2025,student,100
296,296,2.49,5/17/2025,student,86
297,297,6.49,1/16/2026,general_admission,89
298,298,3.49,5/4/2025,VIP,74
299,299,49.99,12/14/2025,student,61
300,300,5.99,5/28/2025,general_admission,4
301,301,2.29,8/26/2025,student,89
302,302,5.99,4/25/2025,VIP,39
303,303,30,4/4/2025,senior,99
304,304,4.99,11/10/2025,VIP,88
305,305,17.99,12/4/2025,student,68
306,306,29.99,2/6/2026,general_admission,63
307,307,299.99,3/9/2026,VIP,78
308,308,45.99,3/23/2026,student,89
309,309,2.49,5/18/2025,VIP,49
310,310,8.49,1/25/2026,senior,3
311,311,18.99,10/30/2025,VIP,7
312,312,2.99,8/11/2025,general_admission,87
313,313,12.99,5/16/2025,senior,86
314,314,19.99,3/21/2026,student,52
315,315,49.99,2/5/2026,general_admission,57
316,316,3.29,1/20/2026,general_admission,30
317,317,19.99,1/1/2026,student,37
318,318,2.99,3/2/2026,VIP,67
319,319,3.79,3/23/2026,student,72
320,320,2.99,11/28/2025,general_admission,73
321,321,39.99,2/15/2026,student,31
322,322,3.99,12/18/2025,student,65
323,323,34.99,7/18/2025,general_admission,74
324,324,69.99,7/22/2025,senior,71
325,325,49.99,7/26/2025,student,9
326,326,5.99,4/11/2025,student,66
327,327,22.99,11/7/2025,VIP,18
328,328,5.99,6/21/2025,student,65
329,329,2.99,9/30/2025,general_admission,34
330,330,64.99,8/16/2025,VIP,80
331,331,99.99,3/2/2026,VIP,33
332,332,3.49,6/1/2025,VIP,69
333,333,99.99,12/28/2025,student,85
334,334,109.99,9/19/2025,senior,14
335,335,5.49,4/25/2025,senior,90
336,336,169.99,8/17/2025,senior,17
337,337,2.99,5/4/2025,general_admission,48
338,338,8.99,10/30/2025,senior,32
339,339,89.99,8/6/2025,general_admission,86
340,340,1.79,12/27/2025,student,43
341,341,3.99,10/6/2025,student,95
342,342,3.99,12/28/2025,general_admission,39
343,343,49.99,3/10/2026,senior,13
344,344,14.99,8/17/2025,student,43
345,345,3.29,5/29/2025,VIP,38
346,346,4.99,3/23/2026,VIP,33
347,347,4.29,11/9/2025,general_admission,31
348,348,29.99,5/21/2025,VIP,40
349,349,19.99,2/1/2026,VIP,49
350,350,5.49,4/5/2025,general_admission,4
351,351,129.99,3/29/2026,VIP,59
352,352,20.99,4/9/2025,student,13
353,353,3.99,10/22/2025,VIP,54
354,354,4.49,10/30/2025,general_admission,43
355,355,4.49,6/17/2025,general_admission,22
356,356,2.99,8/27/2025,VIP,37
357,357,1.99,12/28/2025,student,67
358,358,24.99,3/26/2026,senior,12
359,359,9.99,8/14/2025,general_admission,69
360,360,9.99,5/30/2025,student,42
361,361,89.99,11/21/2025,senior,61
362,362,49.99,7/14/2025,senior,41
363,363,4.99,11/19/2025,senior,52
364,364,3.29,12/23/2025,VIP,52
365,365,24.99,1/24/2026,senior,32
366,366,4.99,5/14/2025,VIP,11
367,367,29.99,7/31/2025,VIP,78
368,368,19.99,9/19/2025,senior,72
369,369,34.99,11/20/2025,VIP,18
370,370,29.99,11/22/2025,senior,89
371,371,6.49,1/22/2026,VIP,90
372,372,1.29,7/14/2025,senior,29
373,373,3.99,9/23/2025,general_admission,10
374,374,12.99,4/28/2025,general_admission,65
375,375,14.99,11/29/2025,general_admission,85
376,376,14.99,5/10/2025,VIP,25
377,377,39.99,10/28/2025,student,55
378,378,3.49,8/14/2025,general_admission,62
379,379,199,3/5/2026,student,67
380,380,2.99,1/19/2026,student,77
381,381,29.99,11/12/2025,senior,5
382,382,6.49,8/22/2025,general_admission,43
383,383,3.49,3/31/2025,VIP,93
384,384,39.99,3/25/2026,general_admission,23
385,385,14.99,10/26/2025,student,91
386,386,34.99,9/26/2025,general_admission,39
387,387,89.99,8/10/2025,general_admission,69
388,388,3.99,10/24/2025,senior,29
389,389,79.99,8/6/2025,senior,32
390,390,15.99,10/25/2025,student,74
391,391,2.99,8/15/2025,senior,69
392,392,6.99,5/4/2025,senior,32
393,393,18.99,2/16/2026,senior,62
394,394,3.99,3/31/2025,VIP,87
395,395,39.99,10/6/2025,student,79
396,396,39.99,7/5/2025,senior,64
397,397,4.99,2/14/2026,senior,87
398,398,2.99,7/17/2025,student,62
399,399,5.99,8/7/2025,general_admission,7
400,400,169.99,7/12/2025,student,36
401,401,7.99,3/11/2026,student,41
402,402,1.99,2/17/2026,general_admission,67
403,403,14.99,3/19/2026,senior,98
404,404,1.29,7/25/2025,student,89
405,405,49.99,8/8/2025,senior,42
406,406,3.99,5/26/2025,student,92
407,407,1.89,10/3/2025,senior,58
408,408,2.79,9/28/2025,student,6
409,409,14.99,4/21/2025,student,74
410,410,24.99,12/26/2025,VIP,54
411,411,29.99,4/25/2025,student,5
412,412,5.99,5/3/2025,VIP,79
413,413,6.99,3/27/2026,senior,28
414,414,1.49,1/6/2026,general_admission,13
415,415,22.99,2/1/2026,student,82
416,416,29.99,6/1/2025,student,95
417,417,6.99,3/16/2026,student,46
418,418,4.99,10/17/2025,senior,20
419,419,15.99,6/28/2025,student,67
420,420,24.99,6/30/2025,general_admission,20
421,421,2.99,1/26/2026,student,40
422,422,18.99,10/3/2025,senior,26
423,423,4.49,11/11/2025,VIP,47
424,424,169.99,7/10/2025,senior,86
425,425,14.99,9/19/2025,student,21
426,426,1.99,12/28/2025,senior,30
427,427,28.99,3/10/2026,general_admission,62
428,428,19.99,10/31/2025,VIP,24
429,429,18.99,1/6/2026,student,45
430,430,34.99,10/19/2025,VIP,15
431,431,4.29,10/5/2025,general_admission,81
432,432,3.49,5/7/2025,general_admission,30
433,433,2.99,6/1/2025,general_admission,61
434,434,2.49,10/8/2025,VIP,37
435,435,9.49,2/2/2026,VIP,75
436,436,3.79,10/12/2025,senior,66
437,437,8.49,6/23/2025,VIP,95
438,438,2.79,11/17/2025,VIP,19
439,439,19.99,5/27/2025,student,57
440,440,3.99,4/26/2025,senior,60
441,441,4.29,4/8/2025,VIP,94
442,442,99.99,6/23/2025,general_admission,11
443,443,49.99,7/12/2025,general_admission,11
444,444,4.29,10/31/2025,VIP,93
445,445,9.99,1/28/2026,senior,17
446,446,2.29,11/23/2025,senior,73
447,447,2.49,5/17/2025,general_admission,14
448,448,1.99,8/16/2025,senior,62
449,449,7.99,5/4/2025,general_admission,14
450,450,49.99,3/12/2026,general_admission,38
451,451,0.79,3/12/2026,VIP,45
452,452,89.99,1/28/2026,student,45
453,453,16.99,3/23/2026,VIP,4
454,454,29.99,5/10/2025,senior,75
455,455,6.49,9/19/2025,senior,19
456,456,3.49,1/22/2026,student,29
457,457,29.99,3/7/2026,VIP,4
458,458,349.99,12/2/2025,VIP,47
459,459,3.99,6/20/2025,senior,88
460,460,99.99,6/8/2025,VIP,94
461,461,29.99,5/25/2025,VIP,15
462,462,199.99,1/21/2026,student,21
463,463,3.49,3/2/2026,VIP,64
464,464,39.99,8/26/2025,student,75
465,465,29.99,9/9/2025,student,73
466,466,3.99,8/12/2025,senior,72
467,467,15.99,7/5/2025,general_admission,85
468,468,89.99,7/21/2025,student,74
469,469,49.99,9/2/2025,VIP,72
470,470,12.99,9/19/2025,VIP,89
471,471,45.99,12/23/2025,VIP,97
472,472,8.99,6/3/2025,general_admission,22
473,473,5.49,4/10/2025,senior,82
474,474,29.99,10/29/2025,student,72
475,475,3.99,5/24/2025,senior,99
476,476,45,1/13/2026,VIP,29
477,477,1.99,4/24/2025,VIP,11
478,478,5.99,12/6/2025,VIP,98
479,479,1.89,8/20/2025,VIP,23
480,480,3.49,11/26/2025,VIP,50
481,481,249.99,7/23/2025,VIP,58
482,482,2.79,8/29/2025,general_admission,6
483,483,39.99,8/28/2025,general_admission,59
484,484,1.99,11/2/2025,VIP,87
485,485,3.99,4/24/2025,VIP,44
486,486,3.29,10/27/2025,general_admission,38
487,487,99.99,5/20/2025,VIP,27
488,488,5.99,3/18/2026,senior,39
489,489,49.99,3/1/2026,VIP,36
490,490,3.49,11/15/2025,student,59
491,491,59.99,4/20/2025,general_admission,45
492,492,1.99,2/22/2026,VIP,100
493,493,5.79,9/15/2025,senior,26
494,494,29.99,3/18/2026,student,13
495,495,2.49,3/12/2026,student,71
496,496,12.99,5/17/2025,senior,39
497,497,39.99,11/21/2025,student,37
498,498,4.49,5/11/2025,student,35
499,499,49.99,8/10/2025,senior,40
500,500,8.99,8/28/2025,student,100
